orig,corr,agree,total agree,,Input.orig,Agree?,Total
"For example, the Red Squar in chinese became into a red sausage and metro station ""Kitay gorod"" was translated how ""metro station of wall and city"", also there were many other silly mistakes.","For example, the Red Square in Chinese  to a ""red sausage"" and the metro station ""Kitay-gorod"" was translated  ""metro station of wall and city"". Also there were many other silly mistakes.",0,0,,"I strongly recommend this book, because you can travel to the Cuban sea in an easy way, but if you are a sympathetic person you could suffer a lot while are you reading the story.",0,0
"Today we are worrying about animals endangered due to human activities, but according to the author, it is not the first time for Homo Sapience to threaten the existence of other animals.","Today we are worrying about animals endangered due to human activities, but according to the author, it is not the first time for Homo Sapience to threaten the existence of other animals.",1,3,,"I used to spend my time playing a lot outside, riding on my bicycle, playing ball games with the neighborhood children, climbing trees, dancing in the living room, and many other things.",0,1
"Finally, in December they arrived to Brazil and got to talk with Mr Baraboom or Barbablue (they weren't sure about his name but they kept reminding to each other to not mention it anyway).","Finally, in December they arrived to Brazil and got to talk with Mr Baraboom or Barbablue (they weren't sure about his name, but they kept reminding  each other to not mention it anyway).",0,1,,I found cool when the nationalities of the characters match their mother tongue and also because I found annoying when translators change unnecessarily the name of some characters.,0,1
"I believe you will like it better mainly because by giving lectures, you will be more likely to get involved with the local people, thus being exposed to natural language and Chinese culture.","I believe you will like it better mainly because by giving lectures, you will be more likely to get involved with the local people, and thereby get exposed toChinese language and culture.",0,1,,"In recent years, people in the general public have different views about whether foreign tourists should pay entrance fees more than local people when they visit historically valuable sites or not.",1,2
I am currently studying the role of university dormitories in the lives of their students and the deeping of mutual understanding between the international students and the domestic students.,I am currently studying the role of university dormitories in the lives of their students and the deepening of mutual understanding between the international students and  domestic ones .,1,2,,"The course fill all the morning and part of the afternoon, and, in this time, I can read college texts, clean my room, practice dance, and do a cultural activity to count in extra hours.",1,2
"Firstly, to continue declining tariffs in trade of goods, particularly for agricultural products; secondly,  to contribute to trade in services; thirdly, to protect intellectual property.","Firstly, to continue declining tariffs in trade of goods, particularly for agricultural products; secondly, to contribute to trade in services; thirdly, to protect intellectual property.",1,2,,"Although there are good arguments in favor of the idea that students should get jobs instantly after graduation, I personally believe that students should receive higher education before getting jobs.",1,3
"For example, I usually chat with Hong Konger and Taiwanese in English but they are absolutely more delighted about listen to my broken Chinese which I began learning than listen to my English.","For example, I usually chat with people from Hong Kong and Taiwan in English but they are absolutely more delighted to listen to my broken Chinese which I began learning than my English.",0,0,,The Germany custom stopped her in the custom because of the illegal entry this time and put her into a dark and small house with many illegal immigrants that didn't know English at all.,1,2
"For one thing, people are inclined to hold skeptical attitude toward experts' views instead of blindly believing what they are told immediately as educational and economic boom.","For one thing, people are inclined to hold skeptical attitudes towards experts' views instead of blindly believing what they are told immediately as educational and an economic  benefit.",1,2,,"Second, hanging out on Lang-8 allows me to have gotten to know quite a few language partners, not to mention that some of them are native English speakers with a high level of Mandarin skills.",1,2
"I knew I was in trouble these days so that it must have triggered me to cry, but when I sipped my favorite brand coffee to refresh my mood, my gray clouds was going away from my head.","I knew I've been feeling trouble lately so that it must have triggered me to cry, but when I sipped my favorite brand of coffee to refresh my mood, my gray clouds went away from my head.",0,0,,"As our budget is very limited, we can't afford to hire a babysitter to take care of them so I have to look after them these three evenings and this doesn't allow me to follow the course.",0,1
"Now she has a lot of things that she wants to talk  everyday but her English vocabulary is very poor because of me, so all she can do  when she's in front of me is just catch the breath.","Now, she has many things that she wants to talk about everyday but her English vocabulary is very poor because of me. When she's in front of me, all she can do  is just catch her breath.",1,2,,"Brandon Stanton is a photographer who created this special site to take photos of 10 000 New Yorkers, but soon HONY has grown into something much bigger than just people's portraits.",1,2
"In recent years, people in the general public have different views about whether students should enroll the university straightaway after graduating their secondary schools or not.","In recent years, people in the general public have different views about whether or not students should enroll in a university straightaway after graduating from their secondary schools.",1,3,,"It was difficult to get protection to the birds around this area where they had decided to built their nests, but after some loses of some eggs due to predators the biologists arrived to protect the area.",1,2
"I know that college as a small size society is really a good place for us to practice ourselves, so I took part in two clubs and became the one of the students who was responsible for them.","I know that college as a small sized society is a really good place for us to practice ourselves, so I took part in two clubs and became one of the students who was responsible for them.",1,3,,"Come to think of it, a reader of mine told me before that being ""childlike"" is totally different from being ""childish."" I looked them up and found the difference in meaning was very interesting.",1,3
"One night, while I was sleeping, I smelled something really bad from the window so I got up suddenly at midnight because it was a very strong stinky smell that I had never experienced before.","Late one night, while I was sleeping, I smelled something really bad coming from the window.  It woke me up because it was a very strong stinky smell that I had never experienced before.",1,3,,"The Government and the police assure that it is not the case, but if a regular person goes missing the chances are that the police will search for him a week at most and this with a bit of luck.",1,3
"For others, writing is just a task for them to express their opinions; for me, however, it's more like a hobby and I will deep further and further until I draw a more profound idea.","For others, writing is just a task for them to express their opinions; for me, however, it's more like a hobby and I will deepen it further and further until I draw a more profound idea.",1,2,,"In personal views, the person who like or adore movies can make friends laugh by using the original imagination, moreover the person could keep a relationship with him or her partner longer.",0,1
"I can't help thinking that sometimes things just gone and you needn't waste your strength to get it back,because it unavoidablely would be getting worse,right on the opposite way from your hope.","I can't help thinking that sometimes things just disappear and you needn't waste your strength to get it back, because it unavoidably  gets worse, just the opposite of the way you hoped.",1,2,,"It was not a so-called ""match making"" site, but a site for learning and exchanging foreign languages, We liked each other very quickly because we had some similarities in personalities.",1,3
"The upside is the possibilities contained in knowing that everything is up to us; where before we were experts in the array of liminations, now we become authorities of what is possible.","The upside is the possibilities contained in knowing that everything is up to us; where before we were experts in the array of limitations, now we become authorities on what is possible.",1,3,,"Nevertheless it is not the same than before, not even the television shows, which have turned into tedious debate programmes, where people argue with one another, rather than expressing their opinions.",1,2
"The upside is the possibilities contained in knowing that everything is up to us; where before we were experts in the array of liminations, now we become authorities of what is possible.","The upside is the possibilities contained in knowing that everything is up to us; where before we were experts in the array of liminations, now we become authorities on what is possible.",1,3,,"In personal views, the person who like or adore movies can make friends laugh by using the original imagination, moreover the person could keep a relationship with him or her partner longer.",0,1
"In this moment they used to grow corn, beans, squash, and chili pepper, besides there were a lot of sedentary communities and pottery and fired clay figurines were built by then.","In this  time period they used to grow corn, beans, squash, and chili pepper. Besides that, there were a lot of sedentary communities, and pottery and  clay figurines were built by them.",1,3,,"In my opinion, fans of the rich are so young that they may be high school students or college students and checking the celebrities' SNS uploaded posts or videos make them open the horizon of unknown world.",0,0
"The guy began to laugh and then organized a short excursion for me, told some interesting facts about the city and life of modern Romans and, of course, helped me to find my taxi.","The guy began to laugh and then organized a short excursion for me, told me some interesting facts about the city and the life of modern Romans and, of course, helped me to find my taxi.",1,3,,"I had to work real hard to prepare for the postgraduate entrance examination for the whole year, and I have to admit that some mobile phone games distracted me from learning English.",0,1
"One of my most recent findings about English was that in some cases which we, the Japanese, feel like to use a subordinative clause, it is more natural in English to use a prepositional phrase.","One of my most recent findings about English was that in some cases which we  Japanese feel like to use a subordinate clause, it is more natural in English to use a prepositional phrase.",1,3,,"For instance, in the beginning of the movie ""Station Agent,"" there was a scene with quiet but enthusiastic people watching an old monochromatic movie about a train running in a model shop.",1,2
"When I correct composition written by my students, who are native Japanese speaker, I often ask them, ""What do you mean?""It is difficult for all to explain something in a sentence.","When I correct composition written by my students, who are native Japanese speakers, I often ask them, ""What do you mean?""It is difficult for them  to explain the meaning of  a sentence.",1,3,,"- when an action happened at an indefinite time before now, and when we want to emphasize the action itself: ""We have had a lot of fun together"", ""I've already had breakfast"", ""I've never been to England"".",0,1
"Unlike the lady in the first photo the woman in the third pic is wearing a white silk blouse, a grey pleated skirt and black high-heeled shoes which fit perfectly with her outfit.","Unlike the lady in the first photo, the woman in the second  picture is wearing a white silk blouse, a grey pleated skirt and black high-heeled shoes which fit perfectly with her outfit.",1,3,,"Since he has performed numbers of striking and attractive animation characters, but I was deeply influenced by his performances as well, I decided to watch his show in Guangzhou.",1,3
"Kamaboko is available at all supermarkets throughout the year, but since we usually eat red and white kamaboko at New Year's, there is a wide variety to choose from at this time of year.","Kamaboko is available at all supermarkets throughout the year, but since we usually eat red and white kamaboko at New Year's. There is a wide variety to choose from at this time of year.",0,1,,"the revolution is logistic, the decrease of transport cost allowe us to receive those shoes directly in our home, without problem, without costs and probably at a lower cost then in a shop.",0,1
"In spite of her brilliant English, She overlooked some grammar rules, making some small mistakes, then you can't oversee how to speak the rest of people when you are not even native.","In spite of her brilliant English, she still made some small, grammatical mistakes. You shouldn't be overly critical of how others speak when you are not even a native speaker, yourself.",0,1,,"The first part is set in the last summer vacation of high school, about a year from the day when Teresa Teng died in 1995, the second part set on the present in 1 about 20 years after the present 2016.",0,1
"I answered again ""Yes , Most of the essays are in rough, it means that I make mistakes on purpose to solve doubts or learning a bit more since it is the one way of sharpering your English"".","I answered again, ""Yes. Most of the essays are rough I make mistakes on purpose to work though issues I may/might have, or learna bit more, since it is one way of sharpening my English"".",0,0,,"From the introduction of computers, the internet and mobile phones, the styles of working have completely changed, and people are getting required to deal their works and tasks faster.",1,2
"If the dream of traveling in Japan comes true, I will take my mom to go to a hot spring and we will wear kimono, a kind of Japanese traditional clothing, and experiencing the tea ceremony.","If the dream of traveling in Japan comes true, I will take my mom to go to a hot spring and we will wear kimono, a kind of Japanese traditional clothing, and experience the tea ceremony.",1,3,,"So we immediatly notice when tourists get on as they talk with their usual volume,but we never get irritated about that because we love foreigners and we know it's just a cultual difference.",1,2
"In the end, I think the Internet overwhelms every other mean of communication firstly because it is easy to use, and secondly, for the immense volume of data accessible on the platform.","In the end, I think the Internet overwhelms every other mean of communication: firstly because it is easy to use, and secondly, for the immense volume of data accessible on the platform.",1,2,,"Matashiro Takayanagi's move got a nickname ""otonashi-no-ken(soundless sword)"" because it was believed in matches he never let the opponent's sword hit his bamboo sword so didn't make a noise.",0,1
"My department deals with Exportation Zones , which are areas that the national  government gives the states to produce focusing on selling the products in the international market.","My department deals with  export zones, which are areas that the national government gives  to states to manufacture products   and to focus on selling  them on the international market.",1,3,,"For instance, hikers can pay to the ranger, who help them to climb to the top of Phnomatchivit, the mountain of the End of the world, from which an amazing view to the Western mountains range opens.",1,2
"It's that moment after a conversation with a friend that was supposed to last 20 minutes, but instead, 4 hours straight, both of you deeply involved in whatever topic that popped up.","It's that moment after a conversation with a friend that was supposed to last 20 minutes, but instead went 4 hours straight, both of you deeply involved in whatever topic that popped up.",1,2,,"Syria, located above the Jordan and beneath Lebanon is having a civil war against its government and citizen because the citizens thought they are not getting the human rights from their government.",0,1
One non-native speaker crossed out my sentence and showed me another sentence that sounded rather unnatural even to me when 8 American English native speakers said it was just natural.,"One non-native speaker crossed out my sentence and showed me another sentence that sounded rather unnatural, even to me, when 8 American English native speakers said that it was natural.",1,2,,"School children, company employees and the commercial and tourism industries, such as hotels, commercial facilities will be happy about the 10-consecutive days off, but there are also concerns.",1,2
"Astronomers found out a new light source, belongs to the group of rare heavenly bodies, called Ultra Light X rays (ULX) with the light level billions higher than that of the Sun.",Astronomers found out a new light source belonging to a group of rare heavenly bodies called Ultra Light X rays (ULX) with the light level billions of times higher than that of the Sun.,0,1,,"I began to think because of her about the next thing: How people around all over the world don't care about knowing better to each other (in this case, she was very interested in knowing other cultures).",1,3
"Yesterday I spent about 20 minutes to correct a friend's journal entry, when I posted it, it showed that there was something wrong with my browser, so all my corrections disappeared.","Yesterday I spent about 20 minutes to correct a friend's journal entry and when I posted it, it showed that there was something wrong with my browser; so all my corrections disappeared.",1,2,,"As Inoue Hideo describes in The Reception of Buddhism in Korea and Its Impact on Indigenous Culture, without a doubt, Buddhism provided many opportunities to Silla to make connections with China (30).",1,2
"So generally speaking, I have all common qualities an instructional designer should have: the ability of breaking down complex knowledge into small units and expressing oneself precisely.","So generally speaking, I have all the  qualities an instructional designer should have: the ability of breaking down complex knowledge into small units and expressing oneself precisely.",1,2,,"I enjoy reading his blogs, as a person who is parenting a teenager as well as a person who is interested in world's trend and cultural differences between Japan and other countries.",1,3
"Even though these 3 people had different lives and perspectives, they were emphasizing one thing in common which was the importance of pursuing the thing that you can passionate about.","Even though these 3 people had different lives and perspectives, they were emphasizing one thing in common which was the importance of pursuing the thing that you  are passionate about.",1,2,,"During the story, Asbag knows very variety characters like Arabic kings, bishops from Christian kingdoms, people from Capadocia and Byzantium, whereas he is developing his skills as a scribe.",1,2
"Therefore, I hope that I will finally be able to overcome this fear and make a driving licence because, as I said, it is a very convenient and necessary thing that is often very useful.","Therefore, I hope that I will finally be able to overcome this fear and get my drivers license because, as I said, it is a very convenient and necessary thing that is often very useful.",1,2,,I argue that a  world government will play more roles as a very important coordinator on the globe because it is significant for all countries to cooperate with each other in the coming era.,0,0
"For example, if sufficient sky trains and underground train systems were built and effectively maintained in our major cities, then the traffic on the roads would be dramatically reduced.","For example, if adequate sky trains and underground train systems were built and effectively maintained in our major cities, then the traffic on the roads would be dramatically reduced.",1,2,,"Self-taught and being open-minded, I am always keen on learning new subjects or techniques, I am focused on gaining experience in a work environment where reactivity and creativity are the key words.",0,1
"At first, the motorbike driver drived me to the opposite direction and I asked him ""Shouldn't we go the opposite direction?"" He didn't answered me, just point to the front way with his hand.","At first, the motorbike driver drove me in the wrong direction and I asked him ""Shouldn't we go in the opposite direction?"" He didn't answer me, just pointed to the front with his hand.",1,2,,"They Homo sapiens moved from Africa to Eurasia at some point, when the old men, Neanderthals in Europe, Peking Man descendants in China, Java Man descendants in Southeast Asia, remained.",0,0
Thanks to another native man who stand by also had heard the question and tell the foreigner that he can take this train and there are another two stop before XuJiaHui station.,"Thanks to another native man standing nearby, who had also heard the question, the foreigner was told that he can take this train and there are another two stops until XuJiaHui station.",1,3,,"We stayed a basic hotel in one Jewish neighbourhood, it was clever, the staff was friendly and patient but from our room we could hear people who sang religious songs until one on the morning.",0,1
"Before encountering his illogical and absurd threads, I believe I would have a fairly good opinion on him in that he achieved native-like fluency and accuracy with massive efforts.","Before encountering his illogical and absurd threads, I believe I would have had a fairly good opinion of him, because he achieved native-like fluency and accuracy with massive efforts.",1,2,,"Since my daughter dreams to be a comic writer in the future and she has some experience of participating in Hyakunin-Isshu competition in her elementary school days, she is also a fun of Mis Suetsugu.",1,2
"If we assume that those households have received the housing mortgage loan at 8% of annual interest rate, one household's average monthly income should be approximately 1,800,000MNT","If we assume that those households have received the housing mortgage loan at 8% of the annual interest rate, one household's average monthly income should be approximately 1,800,000MNT",0,1,,"As it can be clearly seen, in general women did more physical activity with a considerable gap from men, with the exception of teenagers from 15 to 24, where males register a higher figure of 52.8%.",1,2
"I claim that most bookshops will have disappeared before 2030 because nowadays electronic books which is bought and sold on online shops like Kindle, are more and more popular.","I claim that most bookshops will have disappeared before 2030 because nowadays electronic books which is bought and sold on online shops like Kindle, are becoming more and more popular.",0,0,,"Finally, on the last days of June we will have the oral exam where we have to prove our knowledge in Programming, Italian, History, Math, Computer Networks, Project Management and English.",0,1
Many Taiwan media report that the poll of the foreign medium 'Business insider' shows that Taiwan is ranked as the best quality of life in the world for expats from over 100 countries.,"Many Taiwanese media outlets report a poll based on over 100 countries by the foreign medium ""Business Insider.""  ranking Taiwan as the country with the best quality of lifefor expats .",0,0,,"On Monday I will finally return to school after 6 months (1 month of work-linked training, 3 months summer vacation, 2 months ill) and I will have to recover what the teachers did while I was absent.",1,3
I greatly encourage Wen-hsin to pursue further education abroad and strongly believe that she will no doubt achieve phenomenal success with her positive personality and learning attitude.,I greatly encourage Wen-Hsin to pursue a higher degree abroad and strongly believe that she will no doubt achieve phenomenal success with her positive personality and learning attitude.,1,2,,"If you want to improve in a foreign language, it is better you live abroad because not only you will learn a lot of expressions and being fluent but also you could understand their culture.",0,1
"This book illuminates the ways of how to understand different genres of classic music, which is an informative resource to help new leaners access to the knowledge of classic music quickly.","This book illuminates  ways of understanding different genres of classical music, and is an informative resource to give new learners access to the knowledge of classical music quickly.",1,3,,"In conclusion, for the reason mentioned above, although some celebrities have negative impact on young people, I personally believe that many famous people play a good role for younger generation.",1,2
"Take study for another example, the students can accumulate historical or scientific knowledge, and these knowledge help the students understand the society and the whole world more deeply.","Take study as another example. The students can accumulate historical or scientific knowledge, and this knowledge helps the students understand  society and the whole world more deeply.",0,1,,"To sum up, based on aforementioned reasons, one can logically concluded is that education have a great impact on both society and children's future and we must pay attention to this issue more.",1,3
It told the story about some scientists studied and cultivated the dinosaurs In order to benefit and somebody accidentally felt into the Jurassic park and fought with the Dinosaurs.,It told the story about some scientists who studied and cultivated the dinosaurs in order to benefit and somebody accidentally fell into the Jurassic park and fought with the dinosaurs.,0,1,,"Although my husband will have to stay up all night tonight for annual railway time schedule revision, mom ended up in getting up too early in the morning at four, at the same time I got up.",0,1
"The future of mankind is more and more important to environmental protection, so we can forsee that the hydrogen based fuel cells to power vehicles will become more and more popular.","The future of mankind depends more and more an environmental protection, so we can foresee that the use of hydrogen based fuel cells to power vehicles will become more and more popular.",0,1,,"A few days ago I read an entry by a Lang-8 friend saying that when a group of people are practicing speaking a certain foreign language to each other, they are practically teaching each other mistakes.",0,1
"It's that moment after a conversation with a friend that was supposed to last 20 minutes, but instead, 4 hours straight, both of you deeply involved in whatever topic that popped up.","It's that moment when a conversation with a friend was supposed to last 20 minutes, but instead lasted 4 hours straight with both of you deeply involved in whatever topic had popped up.",1,2,,"I didn't know why, but I understand the reason why I am in a piece of pizza frenzy because researchers found that a meal loaded with fat can release serotonin and fight depression.",1,3
"I know that you can speak English and France, so I recommend you this job because one of the most important requirements is that you have to speak English as well as other language.","I know that you can speak English and French, so I recommend this job for you because one of the most important requirements is that you have to speak English alongside other languages.",1,3,,"One night, while I was sleeping, I smelled something really bad from the window so I got up suddenly at midnight because it was a very strong stinky smell that I had never experienced before.",0,1
"Because I think that American company and engineer has lead the IT industry since its birth, even in Japan, the worker who was concerned in the IT industry uses much English terms.","Because I think that American companies and engineers have lead the IT industry since its birth, even in Japan, the worker who is concerned with the IT industry uses many English terms.",1,2,,"It may be easy for us to grow vegetables and fruits against the great nature but these plants which grow up in plastic house contains toxic chemicals, therefore we should wash them carefully.",1,2
"""The David you are sculpting is you,and you do it with your thought.""This is am important concept from the book""secret"",which is a meaningful gift from my dear sister many years ago.","""The David you are sculpting is you,and you do it with your thought."" This is an important concept from the book ""Secret"", which is a meaningful gift from my dear sister many years ago.",1,2,,"People from most countries in the world should be able to find something common and familiar to where they are from, but none of them would think Shanghai is very much silimar to another place.",1,2
I am currently studying the role of university dormitories in the lives of their students and the deepen of mutual understanding between international students and domestic students.,I am currently studying the role of university dormitories in the lives of their students and the deepening of mutual understanding between international students and domestic students.,1,3,,"for example, in the last class, when we talked about our hometown, I could found something about friends' hometown, which contributed to learn the several charm points of each lands.",0,1
"Fortunately, cool air is coming through the windows now at night, but I don't have either an air conditioner or a fan in my room, so if it gets hotter anymore I would be gone to pot.","Fortunately, cool air is coming through the windows now that it is night, but I don't have either an air conditioner or a fan in my room, so if it gets any hotter I will be gone to pot.",1,2,,"Another supernova explosion, there is a form of type I supernova explosion in which substances flow from companion stars near white dwarfs, whose mass is 1.44 times the solar mass and causes runaway.",1,3
"In addition to that, it is impossible to memorize techincal terms, such as business a law, computer, and so on  because there are a lot of law terms that even Japanese people don't know.","In addition to that, it is impossible to memorize techincal terms, such as business, law, computer, and so on because there are a lot of law terms that even Japanese people don't know.",1,2,,"And when the mass of the central nucleus exceeds 1.44 times of the sun (Chandrasekhar limit), the gravitational collapse occurs and the star reaches a dramatic last (large explosion) in a few seconds.",1,2
People tend to go to foreign capital company when they take high score at the TOEIC test but it is ill-advised attempt because there are a lot of native English speakers and bilingual people.,People tend to look for work at a foreign company when they get a high score on the TOEIC but it is ill-advised because there are a lot of native English speakers and bilingual people.,1,3,,"Throughout this term, I encoutered many problems but for me to cross all the hurdles that came across my way was to be struggled hard in school and even managed to complete all the tasks.",0,1
"The Life of David Gale is an amazing story which leaves you moping, gasping for air with the fascinating plot and a series of tightly and marvelously choreographed flashback sequences.","The Life of David Gale is an amazing story which leaves you moping, gasping for air with the fascinating plot and a series of tightly and marvelously choreographed flashback sequences.",0,1,,"This is because during some years when students are in college or university, they can do various activities that take a lot of time to do, such as volunteer, overseas travel to gain views and so on.",0,1
There was another girls uniform school from the school near by to ours at the table next to us and I said to my friends it's already summer and our classes will starting from now on .,There  were  girls wearing the uniform  of the school nearby  ours at the table next to us.  I said to my friends that it's already summer and our classes will be starting from now on.,0,1,,That is why I believe that teachers influence children's cognitive development profoundly and I also doubt that parents can assist their children's academic learning as well as teachers do .,0,1
"But some people think that sitting on the computer has a negative impact on our lives as obssesion by the video games, uncorrect pose while you're sitting, pressure on eyes and etc.","But some people think that sitting at a computer has a negative impact on our lives, such as obsession with video games, bad posture while you're sitting, strain on the eyes and so on.",1,2,,"Some pollen are supposed to reach their targets such as nearby plants to initiate their reproductive processes, however, unfortunately in the mid of being carried by the wind, some of them has landed on me...",0,1
"Paid internship is fair game to everyone, because the interns get paid for how hard they worked whereas unpaid internship do not give any compensate so that can be seen as slavery.","Paid internship is fair game to everyone, because the interns get paid for how hard they worked; whereas unpaid internships do not give any compensation so that can be seen as slavery.",1,2,,"At the college I had the chance to study Asian languages like Japanese, Chinese and Korean, their individual culture and history enhanced my viewpoint on other country linguistics.",1,2
"In addition,once you work to live, you will have great passion to work in pursuit of a better life, which means you will put your heart on work instead of repeating it mechanically.","In addition, once you work to live, you will have a great passion to work in pursuit of a better life, which means you will put your heart on work instead of repeating it mechanically.",0,1,,"In the United States, local governments depend on their income taxes (Edwards 93), so local governments require the disaster recovery assistance from the Federal Emergency Management Agency (Edward 42).",1,3
I joked that only the rich living in this upscale neighborhood would like to squander money on watching these old movies that the poor like me would download and watch on computers.,I joked that only the rich living in this upscale neighborhood would  squander money on  these old movies that poor people like me (just) download and watch on our computers / at home.,1,3,,"I watched the specimen of skull of human and wried bitter smile thinking that compared with the universe it is very,very small, so whether it really can know of everythings of our universe.",0,1
"Not only does he know that with certainty, the results laid out in a meticulously crafted report, but also has he now a list of numerous closely-related relatives to get in touch with.","Not only does he know that with certainty, the results laid out in a meticulously crafted report, but also he now has a list of numerous closely-related relatives to get in touch with.",1,2,,"When Montag tries to learn about boks with Faber, he realizes that book also shows the problems in society and inconsistencies, causing people to recognize things that they did not think independently.",1,2
"I watched the specimen of skull of human and wried bitter smile thinking that compared with the universe it is very,very small, so whether it really can know of everythings of our universe.","I smiled wryly when I saw the specimen of a human skull. I thought that compared with the universe it is very,very small, so can humans it really understand everything in the universe?",0,1,,"and during this state you'll find out things about yourself you never knew before, you express all of your feels and thoughts and you will see how truly you feel about the things which bothers you.",1,2
"I asked the shop assistant""Is this made of beef or pork?"" (I meant if the shoes were made from pigskin or cowhide), I can still remember the how the shop assistant's face looked like.","I asked the shop assistant, ""Are these made of beef or pork?"" I meant to ask if the shoes were made from pigskin or cowhide. I can still remember the look on the shop assistant's face.",1,3,,"I seldom drink reconstituted milk powder before but I found it is very convenient if I want to drink some warm milk in cold days, because stores around dormitory only sell refrigerated milk.",1,2
"From the aforementioned epitome which I did not expect to come across, I could solidify my firm dedication to achieving excellent critical thinking, debate, and problem solving skills.","From the aforementioned epitome which I did not expect to come across, I could solidify my firm dedication to achieving excellent critical thinking, debate, and problem solving skills.",1,2,,"I washed my car in the early morning as scheduled, and I was forced to go to the supermarket as scheduled, and I had an afternoon nap as scheduled, and I was forced to take in laundries as scheduled.",0,1
"In Japan, even though almost citizens are not Christian, Xmas is considered that one of the most important event, and in that day they want to spend with boyfriend or girlfriend.","In Japan, even though most citizens are not Christian, Xmas is considered  one of the most important events, and in that day they want to spend time with their boyfriend or girlfriend.",0,1,,"If you need help, when you want to skype with me or meet in person and practice each other's languages, or anyway you just want to talk with me, just send me a message on Lang-8 please.",1,2
"Another plot: Anglo-Saxons nomadize on Asia and Mongols became maritime power, created a great culture that expanded over the world and New-Mongolian Languages become the most common.","Another plot: Anglo-Saxons nomadize in Asia and Mongols become a maritime power, create a great culture that expands  over the world and New-Mongolian languages become the most common.",1,3,,"But a person whose blood type is B better to be more careful today, otherwise the person might have a trouble with friends"" the woman reported like that, as if she reported weather forecast.",1,3
"However, I believe, one day, not you and me, but civilization that evolved will go beyond four dimensions we know and be free from time, which means realizing an interstellar.","However, I believe that one day, not you and me but a civilization that evolves will go beyond the four dimensions we know and be free from time, which means realizing an interstellar.",0,1,,Literature takes an important place in my life as well my commitents in associations (I frame a youth camp of heritages restoration workshops and I help to organisize concerts and festivals) .,1,2
"According to the course of study prescribed by the Education Ministry of Japan, English is supposed to be taught ""all in English"" at high school level from next school year on.","According to the course of study prescribed by the Education Ministry of Japan, English is supposed to be taught ""all in English"" at the high school level from next school year onward.",1,3,,"But there used to be several reformations on Lang-8, and in a recent one, uploading pictures with post changed to serve those who has a premium account, which reduced the joy writing an essay.",0,1
"One of my most recent findings about English was that in some cases which we, the Japanese, feel like to use a subordinative clause, it is more natural in English to use a prepositional phrase.","One of my most recent findings about English is that in some cases we Japanese prefer to use a subordinate(?) clause, while it is more natural in English to use a prepositional phrase.",1,3,,"I want to go deeper in the Japanese culture and the Japanese language itself is extraordinary, so I have many motivations to learn although it will probably be my hardest challenge so far.",0,1
"When I correct composition written by my students, who are native Japanese speaker, I often ask them, ""What do you mean?""It is difficult for all to explain something in a sentence.","When I correct compositions written by my students, who are native Japanese speakers, I often ask them, ""What do you mean?"" It is difficult for them to explain something in a sentence.",1,3,,"The first time that I read Uzumaki, I was thinking how ridiculous is that someone can be scared of a simple thing like a spiral but when I finished the story the spirals they were never the same again for me.",1,2
"When I correct composition written by my students, who are native Japanese speaker, I often ask them, ""What do you mean?""It is difficult for all to explain something in a sentence.","When I correct compositions written by my students, who are native Japanese speakers, I often ask them, ""What do you mean?""It is difficult for all of them to provide example sentences.",1,3,,"The result of the research shows that the description of social problems defines by Soerjono Soekanto, which are the problems of crime, family disorganization, and violation the norms of society.",1,2
They were talking about all sort of stuff: how people shouldn't be afraid of going to America just because of the swine flu; the church he goes to and how he teaches the bible....etc.,They were talking about all sorts of stuff: how people shouldn't be afraid of going to America just because of the swine flu; the church he goes to and how he teaches the Bible....etc.,0,1,,"There are many phrases in English which can be very confusing to people trying to learn the language, especially phrases which we try to understand literally, but actually mean something very different.",1,2
"If foreign countries can sell their lower-priced products freely in a domestic market, he domestic competitors would go out of business, which would cause citizens to lose thier jobs.","If foreign countries can sell their lower-priced products freely in a domestic market, the domestic competitors would go out of business, which would cause citizens to lose their jobs.",1,2,,"Chris said that you have to do a lof  listening works which he called ""brain soaking"", and I wonder if is the experience of seeing ""friends"" more than ten episodes per day that lead to the result.",1,2
"Teacher asked me a question:"" What do you do for work?"" I answered "" If I want to find a job, I need to search a suitable company first on line., then I send my resume to the company.","The teacher asked me a question:"" What do you do for work?"" I answered "" If I want to find a job, I need to find a suitable company first online., then I send my resume to the company.",0,0,,"For my enrolment for next master's course (in the Netherlands), I'm required to demonstrate that my English skill is sufficient with a score of over 6.0 in the IELTS or level 80 in the TOEFL test.",1,3
"It was strange and subtle that I found it less unacceptable than I had expected, even with a lot of boring contents there like ""overall national strength"", ""reform and opening-up"", etc.","It was strange and subtle that I found it less unacceptable than I had expected, even with a lot of boring content there like ""overall national strength"", ""reform and opening-up"", etc.",1,2,,Futhermore Trump also has already criticized NATO as obsolete  (this is The North Atlantic Treaty Organization) which has maintained security across much of Europe for more than six decades.,1,2
"You joined to this site for learning languages at once, so I hope that you not only concentrate on studying but also enjoy communicating with native speakers and have a useful time .","You joined  this site for learning languages at one time, so I hope that you not only concentrate on studying but also enjoy communicating with native speakers and have a useful time .",0,1,,We would also consider tapping into existing networks or value chains since our R&D department is developing new products that can be further used to manufacture ready to use medical equipment.,1,3
